drug,gene_drug,indirect_gene,risk_gene,polypeptide,gene_description,action,specific_function,toxicity,categories,xgb_importance,xgb_absolute_importance,rf_importance,univariate_hr,multivariate_hr
TRAMADOL,TRAMADOL,ADORA1,SST,Adenosine receptor A1,Adenosine receptor A1,agonist,G protein-coupled adenosine receptor activity,"The reported LD50 for tramadol, when administered orally in mice, is 350 mg/kg.[A174010] 

In carcinogenic studies, there are reports of murine tumors which cannot be concluded to be carcinogenic in humans. On the other hand, tramadol showed no evidence to be mutagenic in different assays and does not have effects on fertility. However, there are clear reports of embryotoxicity and fetotoxicity.[L9257,F4679]","Agents producing tachycardia, Agents that reduce seizure threshold, Alcohols, Amines, Analgesics, Anticholinergic Agents, Antidepressive Agents, Central Nervous System Agents, Central Nervous System Depressants, Combined Inhibitors of Serotonin/Norepinephrine Reuptake, Cyclohexanes, Cyclohexanols, Cycloparaffins, Cytochrome P-450 CYP2B6 Substrates, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 Substrates, Dimethylamines, Drugs that are Mainly Renally Excreted, Muscarinic Antagonists, Narcotics, Nervous System, NMDA Receptor Antagonists, Opiate Agonists, Opioid Agonist, Opioids, Peripheral Nervous System Agents, Sensory System Agents, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Serotonin 5-HT2 Receptor Antagonists, Serotonin 5-HT2C Receptor Antagonists, Serotonin Agents, Serotonin Modulators, Serotonin Receptor Antagonists, UGT1A1 Substrates",0.009751712,0.009751712,0.0021334963984832,0.8876230464258011,1.031872170932833
TRAMADOL,TRAMADOL,GRIN1,GRIN3A,"Glutamate receptor ionotropic, NMDA 1",NMDA receptor,inhibitor,amyloid-beta binding,"The reported LD50 for tramadol, when administered orally in mice, is 350 mg/kg.[A174010] 

In carcinogenic studies, there are reports of murine tumors which cannot be concluded to be carcinogenic in humans. On the other hand, tramadol showed no evidence to be mutagenic in different assays and does not have effects on fertility. However, there are clear reports of embryotoxicity and fetotoxicity.[L9257,F4679]","Agents producing tachycardia, Agents that reduce seizure threshold, Alcohols, Amines, Analgesics, Anticholinergic Agents, Antidepressive Agents, Central Nervous System Agents, Central Nervous System Depressants, Combined Inhibitors of Serotonin/Norepinephrine Reuptake, Cyclohexanes, Cyclohexanols, Cycloparaffins, Cytochrome P-450 CYP2B6 Substrates, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 Substrates, Dimethylamines, Drugs that are Mainly Renally Excreted, Muscarinic Antagonists, Narcotics, Nervous System, NMDA Receptor Antagonists, Opiate Agonists, Opioid Agonist, Opioids, Peripheral Nervous System Agents, Sensory System Agents, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Serotonin 5-HT2 Receptor Antagonists, Serotonin 5-HT2C Receptor Antagonists, Serotonin Agents, Serotonin Modulators, Serotonin Receptor Antagonists, UGT1A1 Substrates",0.009751712,0.009751712,0.0021334963984832,0.8876230464258011,1.031872170932833
TRAMADOL,TRAMADOL,GRIN1,GRM3,"Glutamate receptor ionotropic, NMDA 1",NMDA receptor,inhibitor,amyloid-beta binding,"The reported LD50 for tramadol, when administered orally in mice, is 350 mg/kg.[A174010] 

In carcinogenic studies, there are reports of murine tumors which cannot be concluded to be carcinogenic in humans. On the other hand, tramadol showed no evidence to be mutagenic in different assays and does not have effects on fertility. However, there are clear reports of embryotoxicity and fetotoxicity.[L9257,F4679]","Agents producing tachycardia, Agents that reduce seizure threshold, Alcohols, Amines, Analgesics, Anticholinergic Agents, Antidepressive Agents, Central Nervous System Agents, Central Nervous System Depressants, Combined Inhibitors of Serotonin/Norepinephrine Reuptake, Cyclohexanes, Cyclohexanols, Cycloparaffins, Cytochrome P-450 CYP2B6 Substrates, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 Substrates, Dimethylamines, Drugs that are Mainly Renally Excreted, Muscarinic Antagonists, Narcotics, Nervous System, NMDA Receptor Antagonists, Opiate Agonists, Opioid Agonist, Opioids, Peripheral Nervous System Agents, Sensory System Agents, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Serotonin 5-HT2 Receptor Antagonists, Serotonin 5-HT2C Receptor Antagonists, Serotonin Agents, Serotonin Modulators, Serotonin Receptor Antagonists, UGT1A1 Substrates",0.009751712,0.009751712,0.0021334963984832,0.8876230464258011,1.031872170932833
FUROSEMIDE,FUROSEMIDE,SLC12A1,CLDN16,Solute carrier family 12 member 1,Solute carrier family 12 member 1,inhibitor,sodium,"Clinical consequences from overdose depend on the extent of electrolyte and fluid loss and include dehydration, blood volume reduction, hypotension, electrolyte imbalance, hypokalemia, hypochloremic alkalosis,[L7958] hemoconcentration, cardiac arrhythmias (including A-V block and ventricular fibrillation).[L9659] Symptoms of overdose include acute renal failure, thrombosis, delirious states, flaccid paralysis, apathy and confusion. In cirrhotic patients, overdosage might precipitate hepatic coma.[L9659]

In rats, the oral LD<sub>50</sub>, intraperitoneal LD<sub>50</sub>, and subcutaneous LD<sub>50</sub> is 2600 mg/kg, 800 mg/kg, and 4600 mg/kg, respectively. The Lowest published toxic dose (TDLo) in a female is 6250 μg/kg.[L7964]","Acids, Carbocyclic, Amides, Amines, Aminobenzoates, Aniline Compounds, Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Benzene Derivatives, Benzoates, Cardiovascular Agents, Diuretics, Drugs causing inadvertant photosensitivity, Drugs that are Mainly Renally Excreted, High-Ceiling Diuretics, High-Ceiling Diuretics and Potassium-Sparing Agents, Hyperglycemia-Associated Agents, Hypotensive Agents, Increased Diuresis at Loop of Henle, Membrane Transport Modulators, Natriuretic Agents, Nephrotoxic agents, Non Potassium Sparing Diuretics, OAT1/SLC22A6 inhibitors, OAT3/SLC22A8 Inhibitors, Ototoxic agents, Photosensitizing Agents, Sodium Potassium Chloride Symporter Inhibitors, Sulfanilamides, Sulfonamides, Sulfones, Sulfur Compounds, Thyroxine-binding globulin substrates, UGT1A1 Substrates",0.008959102,0.008959102,0.0039393925830507,0.8626793540685261,0.9766569845036976
ATORVASTATIN,ATORVASTATIN,HDAC2,ACTL6A,Histone deacetylase 2,Histone deacetylase 2,inhibitor,chromatin binding,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Agents Causing Muscle Toxicity, Anticholesteremic Agents, BSEP/ABCB11 Substrates, Cytochrome P-450 CYP2B6 Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Enzyme Inhibitors, Fatty Acids, Heptanoic Acids, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Hypolipidemic Agents, Hypolipidemic Agents Indicated for Hyperlipidemia, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Lipids, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 substrates, OATP2B1/SLCO2B1 substrates, P-glycoprotein inhibitors, P-glycoprotein substrates, Toxic Actions, UGT1A1 Substrates, UGT1A3 substrates",0.008873704,0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
ATORVASTATIN,ATORVASTATIN,HDAC2,MECOM,Histone deacetylase 2,Histone deacetylase 2,inhibitor,chromatin binding,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Agents Causing Muscle Toxicity, Anticholesteremic Agents, BSEP/ABCB11 Substrates, Cytochrome P-450 CYP2B6 Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Enzyme Inhibitors, Fatty Acids, Heptanoic Acids, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Hypolipidemic Agents, Hypolipidemic Agents Indicated for Hyperlipidemia, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Lipids, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 substrates, OATP2B1/SLCO2B1 substrates, P-glycoprotein inhibitors, P-glycoprotein substrates, Toxic Actions, UGT1A1 Substrates, UGT1A3 substrates",0.008873704,0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
ATORVASTATIN,ATORVASTATIN,HDAC2,PHC3,Histone deacetylase 2,Histone deacetylase 2,inhibitor,chromatin binding,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Agents Causing Muscle Toxicity, Anticholesteremic Agents, BSEP/ABCB11 Substrates, Cytochrome P-450 CYP2B6 Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Enzyme Inhibitors, Fatty Acids, Heptanoic Acids, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Hypolipidemic Agents, Hypolipidemic Agents Indicated for Hyperlipidemia, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Lipids, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 substrates, OATP2B1/SLCO2B1 substrates, P-glycoprotein inhibitors, P-glycoprotein substrates, Toxic Actions, UGT1A1 Substrates, UGT1A3 substrates",0.008873704,0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
ATORVASTATIN,ATORVASTATIN,HDAC2,TBL1XR1,Histone deacetylase 2,Histone deacetylase 2,inhibitor,chromatin binding,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Agents Causing Muscle Toxicity, Anticholesteremic Agents, BSEP/ABCB11 Substrates, Cytochrome P-450 CYP2B6 Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Enzyme Inhibitors, Fatty Acids, Heptanoic Acids, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Hypolipidemic Agents, Hypolipidemic Agents Indicated for Hyperlipidemia, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Lipids, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 substrates, OATP2B1/SLCO2B1 substrates, P-glycoprotein inhibitors, P-glycoprotein substrates, Toxic Actions, UGT1A1 Substrates, UGT1A3 substrates",0.008873704,0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
ATORVASTATIN,ATORVASTATIN,HDAC2,TP53,Histone deacetylase 2,Histone deacetylase 2,inhibitor,chromatin binding,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Agents Causing Muscle Toxicity, Anticholesteremic Agents, BSEP/ABCB11 Substrates, Cytochrome P-450 CYP2B6 Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Enzyme Inhibitors, Fatty Acids, Heptanoic Acids, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Hypolipidemic Agents, Hypolipidemic Agents Indicated for Hyperlipidemia, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Lipids, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 substrates, OATP2B1/SLCO2B1 substrates, P-glycoprotein inhibitors, P-glycoprotein substrates, Toxic Actions, UGT1A1 Substrates, UGT1A3 substrates",0.008873704,0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
ATORVASTATIN,ATORVASTATIN,DPP4,ENPEP,Dipeptidyl peptidase 4,Dipeptidyl peptidase 4,inhibitor,aminopeptidase activity,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Agents Causing Muscle Toxicity, Anticholesteremic Agents, BSEP/ABCB11 Substrates, Cytochrome P-450 CYP2B6 Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Enzyme Inhibitors, Fatty Acids, Heptanoic Acids, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Hypolipidemic Agents, Hypolipidemic Agents Indicated for Hyperlipidemia, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Lipids, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 substrates, OATP2B1/SLCO2B1 substrates, P-glycoprotein inhibitors, P-glycoprotein substrates, Toxic Actions, UGT1A1 Substrates, UGT1A3 substrates",0.008873704,0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
ATORVASTATIN,ATORVASTATIN,DPP4,SI,Dipeptidyl peptidase 4,Dipeptidyl peptidase 4,inhibitor,aminopeptidase activity,"The reported LD50 of oral atorvastatin in mice is higher than 5000 mg/kg.[MSDS] In cases of overdose with atorvastatin, there is reported symptoms of complicated breathing, jaundice, liver damage, dark urine, muscle pain, and seizures.[L6031] In case of overdose, symptomatic treatment is recommended and due to the high plasma protein binding, hemodialysis is not expected to generate significant improvement.[FDA label]

In carcinogenic studies with high doses of atorvastatin, evidence of rhabdomyosarcoma, fibrosarcoma, liver adenoma, and liver carcinoma were observed.[FDA label]

In fertility studies with high doses of atorvastatin, there were events of aplasia, aspermia, low testis and epididymal weight, decreased sperm motility, decreased spermatid head concentration and increased abnormal sperm.[FDA label]

Atorvastatin was shown to not be mutagenic in diverse mutagenic assays.[FDA label]","Agents Causing Muscle Toxicity, Anticholesteremic Agents, BSEP/ABCB11 Substrates, Cytochrome P-450 CYP2B6 Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Enzyme Inhibitors, Fatty Acids, Heptanoic Acids, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Hypolipidemic Agents, Hypolipidemic Agents Indicated for Hyperlipidemia, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Lipids, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 substrates, OATP2B1/SLCO2B1 substrates, P-glycoprotein inhibitors, P-glycoprotein substrates, Toxic Actions, UGT1A1 Substrates, UGT1A3 substrates",0.008873704,0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
HYDRALAZINE,HYDRALAZINE,HIF1A,CDKN2A,Hypoxia-inducible factor 1-alpha,Hypoxia-inducible factor 1-alpha,inducer,cis-regulatory region sequence-specific DNA binding,"The oral LD<sub>50</sub> in rats is 173-187mg/kg and the highest known dose an adult human has survived is 10g orally.[L8782]

Patients experiencing an overdose may present with hypotension, tachycardia, headache, flushing, myocardial ischemia, myocardial infarction, cardiac arrhythmia, and shock.[L8782] Overdose can be treated through emptying the gastric contents and administering activated charcoal, though these treatments may cause further arrhythmias and shock.[L8782] Supportive and symptomatic treatment should be administered.[L8782]","Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Arteriolar Smooth Muscle, Agents Acting On, Arteriolar Vasodilation, Arteriolar Vasodilator, Cardiovascular Agents, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 Enzyme Inhibitors, Direct Vasodilators, Drugs that are Mainly Renally Excreted, Hydrazinophthalazine Derivatives, Hydrazinophthalazine Derivatives and Diuretics, Hypotensive Agents, Phthalazines, Pyridazines, Vasodilating Agents",0.0067201713,0.0067201713,0.003123041909741,0.8955813192049786,1.0115874873587576
HYDRALAZINE,HYDRALAZINE,HIF1A,DCUN1D1,Hypoxia-inducible factor 1-alpha,Hypoxia-inducible factor 1-alpha,inducer,cis-regulatory region sequence-specific DNA binding,"The oral LD<sub>50</sub> in rats is 173-187mg/kg and the highest known dose an adult human has survived is 10g orally.[L8782]

Patients experiencing an overdose may present with hypotension, tachycardia, headache, flushing, myocardial ischemia, myocardial infarction, cardiac arrhythmia, and shock.[L8782] Overdose can be treated through emptying the gastric contents and administering activated charcoal, though these treatments may cause further arrhythmias and shock.[L8782] Supportive and symptomatic treatment should be administered.[L8782]","Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Arteriolar Smooth Muscle, Agents Acting On, Arteriolar Vasodilation, Arteriolar Vasodilator, Cardiovascular Agents, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 Enzyme Inhibitors, Direct Vasodilators, Drugs that are Mainly Renally Excreted, Hydrazinophthalazine Derivatives, Hydrazinophthalazine Derivatives and Diuretics, Hypotensive Agents, Phthalazines, Pyridazines, Vasodilating Agents",0.0067201713,0.0067201713,0.003123041909741,0.8955813192049786,1.0115874873587576
HYDRALAZINE,HYDRALAZINE,HIF1A,SOX2,Hypoxia-inducible factor 1-alpha,Hypoxia-inducible factor 1-alpha,inducer,cis-regulatory region sequence-specific DNA binding,"The oral LD<sub>50</sub> in rats is 173-187mg/kg and the highest known dose an adult human has survived is 10g orally.[L8782]

Patients experiencing an overdose may present with hypotension, tachycardia, headache, flushing, myocardial ischemia, myocardial infarction, cardiac arrhythmia, and shock.[L8782] Overdose can be treated through emptying the gastric contents and administering activated charcoal, though these treatments may cause further arrhythmias and shock.[L8782] Supportive and symptomatic treatment should be administered.[L8782]","Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Arteriolar Smooth Muscle, Agents Acting On, Arteriolar Vasodilation, Arteriolar Vasodilator, Cardiovascular Agents, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 Enzyme Inhibitors, Direct Vasodilators, Drugs that are Mainly Renally Excreted, Hydrazinophthalazine Derivatives, Hydrazinophthalazine Derivatives and Diuretics, Hypotensive Agents, Phthalazines, Pyridazines, Vasodilating Agents",0.0067201713,0.0067201713,0.003123041909741,0.8955813192049786,1.0115874873587576
